"bg_geo_id","score","model_id","date_obtained"
"530330224005","3","11","2021-03-12"
"530330224006","3","11","2021-03-12"
"530330225001","3","11","2021-03-12"
"530330225002","3","11","2021-03-12"
"530330225003","3","11","2021-03-12"
"530330225004","2","11","2021-03-12"
"530330225005","3","11","2021-03-12"
"530330226031","2","11","2021-03-12"
"530330226032","3","11","2021-03-12"
"530330226033","4","11","2021-03-12"
"530330226034","4","11","2021-03-12"
"530330226035","3","11","2021-03-12"
"530330226041","3","11","2021-03-12"
"530330226042","3","11","2021-03-12"
"530330226043","3","11","2021-03-12"
"530330226051","3","11","2021-03-12"
"530330226052","3","11","2021-03-12"
"530330226053","4","11","2021-03-12"
"530330226061","3","11","2021-03-12"
"530330226062","3","11","2021-03-12"
"530330226063","3","11","2021-03-12"
"530330226064","3","11","2021-03-12"
"530330227011","3","11","2021-03-12"
"530330227012","3","11","2021-03-12"
"530330227021","3","11","2021-03-12"
"530330227022","4","11","2021-03-12"
"530330227023","3","11","2021-03-12"
"530330227031","3","11","2021-03-12"
"530330227032","3","11","2021-03-12"
"530330228011","4","11","2021-03-12"
"530330228012","4","11","2021-03-12"
"530330228013","3","11","2021-03-12"
"530330228014","3","11","2021-03-12"
"530330228021","4","11","2021-03-12"
"530330228022","3","11","2021-03-12"
"530330228023","3","11","2021-03-12"
"530330228031","4","11","2021-03-12"
"530330228032","3","11","2021-03-12"
"530330228033","4","11","2021-03-12"
"530330229011","3","11","2021-03-12"
"530330229012","3","11","2021-03-12"
"530330229021","3","11","2021-03-12"
"530330229022","3","11","2021-03-12"
"530330229023","3","11","2021-03-12"
"530330229024","3","11","2021-03-12"
"530330229025","3","11","2021-03-12"
"530330230001","3","11","2021-03-12"
"530330230002","3","11","2021-03-12"
"530330230003","3","11","2021-03-12"
"530330230004","3","11","2021-03-12"
"530330231001","3","11","2021-03-12"
"530330231002","3","11","2021-03-12"
"530330231003","3","11","2021-03-12"
"530330232011","3","11","2021-03-12"
"530330232012","3","11","2021-03-12"
"530330232013","4","11","2021-03-12"
"530330232021","3","11","2021-03-12"
"530330232022","3","11","2021-03-12"
"530330232023","3","11","2021-03-12"
"530330233001","3","11","2021-03-12"
"530330233002","3","11","2021-03-12"
"530330233003","3","11","2021-03-12"
"530330233004","3","11","2021-03-12"
"530330234011","3","11","2021-03-12"
"530330234012","3","11","2021-03-12"
"530330234013","3","11","2021-03-12"
"530330234031","3","11","2021-03-12"
"530330234032","3","11","2021-03-12"
"530330234033","3","11","2021-03-12"
"530330234041","3","11","2021-03-12"
"530330234042","3","11","2021-03-12"
"530330235001","3","11","2021-03-12"
"530330235002","3","11","2021-03-12"
"530330235003","3","11","2021-03-12"
"530330236011","3","11","2021-03-12"
"530330236012","3","11","2021-03-12"
"530330236013","3","11","2021-03-12"
"530330236031","3","11","2021-03-12"
"530330236032","4","11","2021-03-12"
"530330236033","3","11","2021-03-12"
"530330236034","4","11","2021-03-12"
"530330236041","4","11","2021-03-12"
"530330236042","3","11","2021-03-12"
"530330236043","3","11","2021-03-12"
"530330236044","4","11","2021-03-12"
"530330237001","3","11","2021-03-12"
"530330237002","3","11","2021-03-12"
"530330237003","4","11","2021-03-12"
"530330238011","3","11","2021-03-12"
"530330238012","4","11","2021-03-12"
"530330238031","3","11","2021-03-12"
"530330238032","4","11","2021-03-12"
