"Block.Group.ID","Average.Block.Group.Score","Population","Population.3.Mile","Households.3.Mile","Percent.Kids.under.5","Percent.Kids.under.5.3.Mile","Percent.Kids.5.to.9","Percent.Kids.5.to.9.3 Mile","Average.Age","Household.income.under.40K.3Mile","Household.income.40K.to.50K.3.Mile","Household.income.50K.to.60K.3.Mile","Household.income.60K.to.75K.3.Mile","Household.income.75K.to.100K.3.Mile","Household.income.100:.125K.3.Mile","Household.income.125K.to.150K.3.Mile","Household.income.150K.to.200K.3.Mile","Household.income.200K+.3Mile","Score"
"530330228032",NA,2878,104799,41334,0.064,0.066,0.114,0.072,36.1,0.158,0.037,0.04,0.074,0.118,0.126,0.093,0.138,0.215,4.62591730878844
"530530724082",NA,2192,24927,10181,0.03,0.047,0.081,0.056,44.3,0.207,0.062,0.059,0.085,0.155,0.125,0.082,0.084,0.14,4.09840824391704
"530330327023",NA,950,5005,1767,0.017,0.045,0,0.064,46.5,0.097,0.037,0.012,0.085,0.179,0.14,0.157,0.151,0.141,4.02160125674316
"530330286002",NA,909,68624,25331,0.081,0.067,0.08,0.063,56.1,0.284,0.103,0.082,0.107,0.123,0.089,0.08,0.063,0.07,5.36365726497996
"530330293031",NA,1136,89362,33008,0.031,0.066,0.083,0.063,37.5,0.202,0.072,0.082,0.123,0.159,0.117,0.083,0.099,0.062,2.64804128529484
"530670102001",NA,1359,47246,21125,0.014,0.049,0.04,0.047,56.3,0.353,0.093,0.074,0.111,0.133,0.081,0.072,0.047,0.037,2.99294280184236
"530530630002",NA,2359,136465,51014,0.033,0.076,0.069,0.072,32.3,0.384,0.116,0.104,0.112,0.126,0.077,0.037,0.028,0.017,2.78332553119386
"530670116221",NA,1592,59864,23298,0.065,0.071,0.077,0.065,37.8,0.242,0.088,0.087,0.133,0.177,0.118,0.067,0.058,0.029,3.72505317972021
"530539400061",NA,1632,86136,31277,0.077,0.067,0.135,0.07,30.5,0.365,0.089,0.096,0.111,0.142,0.09,0.043,0.039,0.026,3.90109162803525
"530330091001",NA,773,202109,107928,0,0.034,0.014,0.03,54.8,0.265,0.06,0.058,0.079,0.114,0.096,0.08,0.096,0.153,2.49898321195754
"530670104003",NA,755,64752,28260,0.02,0.051,0.037,0.052,51.4,0.334,0.094,0.091,0.092,0.141,0.099,0.062,0.048,0.038,2.88471884974804
"530330236032",NA,2431,118193,48636,0.111,0.06,0.024,0.059,30.2,0.163,0.048,0.045,0.075,0.113,0.123,0.078,0.128,0.227,4.44292612881239
"530330323271",NA,3391,27293,9778,0.012,0.067,0.021,0.079,69.2,0.113,0.042,0.029,0.061,0.094,0.123,0.084,0.119,0.335,5.04007329646832
"530330253022",NA,1971,110128,42461,0.05,0.063,0.094,0.06,41.9,0.257,0.077,0.079,0.104,0.137,0.124,0.064,0.079,0.079,3.06243964955005
"530530730012",NA,1346,10609,3631,0,0.055,0.102,0.087,28.3,0.315,0.083,0.105,0.104,0.163,0.076,0.044,0.083,0.025,2.79126047665483
"530530606004",NA,963,93950,40299,0.013,0.054,0.024,0.057,36,0.35,0.088,0.069,0.099,0.133,0.09,0.06,0.065,0.047,2.78502881682683
"530330322081",NA,2041,63310,23420,0.04,0.067,0.098,0.073,44.5,0.119,0.037,0.04,0.056,0.109,0.106,0.113,0.134,0.286,2.79432547440693
"530330258042",NA,725,102346,39128,0.057,0.065,0.033,0.063,44.3,0.218,0.076,0.084,0.119,0.149,0.121,0.076,0.091,0.067,2.97802472371982
"530330290032",NA,1278,82827,30103,0.011,0.065,0.101,0.077,34.8,0.317,0.091,0.088,0.129,0.119,0.089,0.062,0.058,0.048,2.76104698222931
"530330323092",NA,4413,93269,36765,0.046,0.072,0.034,0.072,30.2,0.144,0.036,0.04,0.072,0.106,0.123,0.101,0.149,0.23,3.48665625731217
"530530714111",NA,2985,43782,14561,0.106,0.072,0.091,0.088,30.3,0.25,0.07,0.1,0.135,0.187,0.082,0.085,0.058,0.033,5.23022561967922
"530330085003",NA,1936,211412,112716,0.007,0.034,0,0.03,37.2,0.255,0.058,0.057,0.078,0.115,0.096,0.081,0.097,0.163,2.62367889564454
"530530624005",NA,890,118689,45629,0,0.063,0.18,0.072,28.9,0.389,0.097,0.095,0.111,0.127,0.088,0.043,0.032,0.02,3.60316488213583
